id,person1,person2,label
0,bounding_box_train\1385_c1s5_072116_01.jpg,bounding_box_train\1385_c5s3_076462_09.jpg,1
1,bounding_box_train\1385_c1s5_072141_01.jpg,bounding_box_train\1385_c6s4_002252_01.jpg,1
2,bounding_box_train\1385_c1s6_027521_01.jpg,bounding_box_train\1385_c3s3_075919_01.jpg,1
3,bounding_box_train\1385_c2s3_039582_01.jpg,bounding_box_train\1385_c6s4_002202_03.jpg,1
4,bounding_box_train\1385_c2s3_039657_02.jpg,bounding_box_train\1385_c3s3_075919_01.jpg,1
5,bounding_box_train\1385_c3s3_045978_04.jpg,bounding_box_train\1385_c3s3_075844_02.jpg,1
6,bounding_box_train\1385_c3s3_045978_04.jpg,bounding_box_train\1385_c3s3_075919_01.jpg,1
7,bounding_box_train\1385_c3s3_046003_03.jpg,bounding_box_train\1385_c3s3_075919_11.jpg,1
8,bounding_box_train\1385_c3s3_075844_02.jpg,bounding_box_train\1385_c6s4_002252_05.jpg,1
9,bounding_box_train\1385_c3s3_075919_01.jpg,bounding_box_train\1385_c5s3_076462_09.jpg,1
10,bounding_box_train\0992_c1s4_066811_02.jpg,bounding_box_train\0992_c4s5_013479_01.jpg,1
11,bounding_box_train\0992_c1s4_066836_04.jpg,bounding_box_train\0992_c3s2_127544_01.jpg,1
12,bounding_box_train\0992_c1s5_014236_01.jpg,bounding_box_train\0992_c4s5_013579_04.jpg,1
13,bounding_box_train\0992_c1s5_014261_01.jpg,bounding_box_train\0992_c4s5_013479_01.jpg,1
14,bounding_box_train\0992_c2s2_124202_01.jpg,bounding_box_train\0992_c3s2_127544_01.jpg,1
15,bounding_box_train\0992_c2s2_124202_01.jpg,bounding_box_train\0992_c4s5_013579_04.jpg,1
16,bounding_box_train\0992_c2s2_124227_04.jpg,bounding_box_train\0992_c4s5_013654_01.jpg,1
17,bounding_box_train\0992_c3s2_127419_01.jpg,bounding_box_train\0992_c4s5_013579_04.jpg,1
18,bounding_box_train\0992_c3s2_127419_01.jpg,bounding_box_train\0992_c5s2_127999_01.jpg,1
19,bounding_box_train\0992_c3s2_127419_01.jpg,bounding_box_train\0992_c5s2_150024_04.jpg,1
20,bounding_box_train\0992_c3s2_127544_01.jpg,bounding_box_train\0992_c3s2_149569_03.jpg,1
21,bounding_box_train\0992_c3s2_149594_04.jpg,bounding_box_train\0992_c5s2_127824_02.jpg,1
22,bounding_box_train\0992_c4s5_013654_01.jpg,bounding_box_train\0992_c5s2_127824_02.jpg,1
23,bounding_box_train\0992_c5s2_127824_02.jpg,bounding_box_train\0992_c5s2_150024_04.jpg,1
24,bounding_box_train\0043_c3s1_003776_03.jpg,bounding_box_train\0043_c6s1_004401_02.jpg,1
25,bounding_box_train\0374_c1s2_023116_02.jpg,bounding_box_train\0374_c5s1_095773_05.jpg,1
26,bounding_box_train\0374_c5s1_089198_01.jpg,bounding_box_train\0374_c5s1_095748_04.jpg,1
27,bounding_box_train\0633_c1s3_039926_02.jpg,bounding_box_train\0633_c5s2_026105_02.jpg,1
28,bounding_box_train\0633_c3s2_025612_01.jpg,bounding_box_train\0633_c6s2_019768_04.jpg,1
29,bounding_box_train\0633_c3s2_025637_01.jpg,bounding_box_train\0633_c6s2_019993_01.jpg,1
30,bounding_box_train\0633_c3s2_025737_01.jpg,bounding_box_train\0633_c3s2_025787_01.jpg,1
31,bounding_box_train\0633_c5s2_026105_02.jpg,bounding_box_train\0633_c5s2_026105_06.jpg,1
32,bounding_box_train\0633_c5s2_026105_02.jpg,bounding_box_train\0633_c6s2_019818_04.jpg,1
33,bounding_box_train\0633_c5s2_026205_01.jpg,bounding_box_train\0633_c6s2_019718_01.jpg,1
34,bounding_box_train\0633_c6s2_019718_01.jpg,bounding_box_train\0633_c6s2_019768_01.jpg,1
35,bounding_box_train\0633_c6s2_019743_05.jpg,bounding_box_train\0633_c6s2_019768_04.jpg,1
36,bounding_box_train\0633_c6s2_019818_01.jpg,bounding_box_train\0633_c6s2_019868_01.jpg,1
37,bounding_box_train\1449_c1s6_009491_04.jpg,bounding_box_train\1449_c1s6_009666_07.jpg,1
38,bounding_box_train\1449_c1s6_009666_05.jpg,bounding_box_train\1449_c4s6_009260_01.jpg,1
39,bounding_box_train\1449_c4s6_009285_02.jpg,bounding_box_train\1449_c5s3_058740_01.jpg,1
40,bounding_box_train\1449_c5s3_058740_01.jpg,bounding_box_train\1449_c6s3_082142_05.jpg,1
