id,person1,person2,label
0,bounding_box_train\0670_c1_f0168464.jpg,bounding_box_train\0670_c4_f0147842.jpg,1
1,bounding_box_train\0670_c1_f0168824.jpg,bounding_box_train\0670_c2_f0172795.jpg,1
2,bounding_box_train\0670_c3_f0150014.jpg,bounding_box_train\0670_c4_f0148202.jpg,1
3,bounding_box_train\4509_c6_f0110933.jpg,bounding_box_train\4509_c7_f0114936.jpg,1
4,bounding_box_train\3732_c5_f0190731.jpg,bounding_box_train\3732_c6_f0179336.jpg,1
5,bounding_box_train\3732_c5_f0190731.jpg,bounding_box_train\3732_c6_f0180536.jpg,1
6,bounding_box_train\3732_c5_f0191091.jpg,bounding_box_train\3732_c6_f0175736.jpg,1
7,bounding_box_train\3732_c5_f0191211.jpg,bounding_box_train\3732_c6_f0183176.jpg,1
8,bounding_box_train\3732_c6_f0169976.jpg,bounding_box_train\3732_c6_f0179456.jpg,1
9,bounding_box_train\3732_c6_f0170096.jpg,bounding_box_train\3732_c6_f0170216.jpg,1
10,bounding_box_train\3732_c6_f0170096.jpg,bounding_box_train\3732_c6_f0171416.jpg,1
11,bounding_box_train\3732_c6_f0170096.jpg,bounding_box_train\3732_c6_f0183416.jpg,1
12,bounding_box_train\3732_c6_f0170216.jpg,bounding_box_train\3732_c6_f0177296.jpg,1
13,bounding_box_train\3732_c6_f0170216.jpg,bounding_box_train\3732_c6_f0177536.jpg,1
14,bounding_box_train\3732_c6_f0170336.jpg,bounding_box_train\3732_c6_f0180056.jpg,1
15,bounding_box_train\3732_c6_f0170576.jpg,bounding_box_train\3732_c6_f0175856.jpg,1
16,bounding_box_train\3732_c6_f0170576.jpg,bounding_box_train\3732_c6_f0178856.jpg,1
17,bounding_box_train\3732_c6_f0170696.jpg,bounding_box_train\3732_c6_f0171176.jpg,1
18,bounding_box_train\3732_c6_f0170696.jpg,bounding_box_train\3732_c6_f0183296.jpg,1
19,bounding_box_train\3732_c6_f0170816.jpg,bounding_box_train\3732_c6_f0172136.jpg,1
20,bounding_box_train\3732_c6_f0170936.jpg,bounding_box_train\3732_c6_f0172256.jpg,1
21,bounding_box_train\3732_c6_f0170936.jpg,bounding_box_train\3732_c6_f0174656.jpg,1
22,bounding_box_train\3732_c6_f0170936.jpg,bounding_box_train\3732_c6_f0176096.jpg,1
23,bounding_box_train\3732_c6_f0170936.jpg,bounding_box_train\3732_c6_f0181616.jpg,1
24,bounding_box_train\3732_c6_f0171056.jpg,bounding_box_train\3732_c6_f0172736.jpg,1
25,bounding_box_train\3732_c6_f0171056.jpg,bounding_box_train\3732_c6_f0178496.jpg,1
26,bounding_box_train\3732_c6_f0171176.jpg,bounding_box_train\3732_c6_f0182576.jpg,1
27,bounding_box_train\3732_c6_f0171296.jpg,bounding_box_train\3732_c6_f0176216.jpg,1
28,bounding_box_train\3732_c6_f0171296.jpg,bounding_box_train\3732_c6_f0178616.jpg,1
29,bounding_box_train\3732_c6_f0171416.jpg,bounding_box_train\3732_c6_f0180776.jpg,1
